Name,10 wickets in match,100s/50s,2001–2005,2001–2007,2006–,5 wickets in innings,allegiance,alma mater,awards,balls bowled,based in,batting,batting average,battles/wars,best bowling,born,bowling,bowling average,cabinet,catches/stumpings,cause of death,children,citizenship,civilian awards,commands,committees,competition,current team,date of birth,died,domestic partner,education,event(s),father,full name,known for,last odi,last test,matches,military awards,mother,national side,nationality,net worth,nickname(s),notable award(s),notable awards,occupation,odi debut (cap 60),other politicalaffiliations,parents,place of birth,playing position,political party,predecessor,profession,rank,relations,relatives,religion,residence,resting place,runs scored,salary,service/branch,sport,spouse(s),test debut (cap 107),top score,unit,website,wickets,years,years of service
IshratHussain,,,,,,,,"williams college (b.a) 
boston university (ph.d)",,,,,,,, (1941-06-17) 17 june 1941 (age 77)[citation needed]allahabad| british india,,,,,,,,,,,,,,,,,,,,,,,,,,, pakistan,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
IslamuddinShaikh,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,pakistani,,,,,,,,,,,pakistan peoples party,,,,,,,,,,,,,,,,,,,,
IsmailRahoo,,,,,,,,,,,,,,,, (1962-05-20) 20 may 1962 (age 56)badin district,,,,,,,,,,,,,,,,,,,,,,,,,,,pakistani,,,,,,,,,,,pakistan peoples party,,,,,,,,,,,,,,,,,,,,
JaffarKhanLeghari,,,,,,,,,,,,,,,, (1942-06-23) june 23| 1942 (age 76),,,,,,,,,,,,,,,,,,,,,,,,,,,pakistani,,,,,,,,,,,pakistan tehreek-e-insaf,,,,,,,,,,,,,,,,,,,,
JahangirKhanzada,,,,,,,,,,,,,,,, (1977-07-08) 8 july 1977 (age 41)peshawar,,,,,,,,,,,,,,,,,,,,,,,,,,,pakistani,,,,,,,,shuja khanzada (father),,,pakistan muslim league (n),,,,,,,,,,,,,,,,,,,,
JamAbdulKarimBijar,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,pakistani,,,,,,,,,,,pakistan peoples party,,,,,,,,,,,,,,,,,,,,
JamalKhanMandokhail,,,,,,,,,,,,,,,, (1961-11-12) 12 november 1961 (age 57),,,,,,,,,,,,,,,,,,,,,,,,,,, pakistani,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
JamAwaisBijarKhanJokhio,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,pakistani,,,,,,,,,,,pakistan peoples party,,,,,,,,,,,,,,,,,,,,
JamKamalKhan,,,,,,,,,,,,,,,, (1973-01-01) january 1| 1973 (age 45),,,,,,,,,,,,,,,,,,jam mohammad yousaf,,,,,,,,,pakistani,,,,,,,,,,,balochistan awami party,,,,jam of lasbela,,,,,,,,,,,,,,,,
JamKhanShoro,,,,,,,,,,,,,,,, (1982-03-05) 5 march 1982 (age 36)hyderabad| pakistan,,,,,,,,,,,,,,,,,,,,,,,,,,,pakistani,,,,,,,,,,,pakistan peoples party,,,,,,,,,,,,,,,,,,,,
JamMadadAliKhan,,,,,,,,,,,,,,,, (1962-12-14) 14 december 1962 (age 55)sanghar,,,,,,,,,,,,,,,,,,,,,,,,,,,pakistani,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
JanMohammadJamali,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,independent (before 2002)pakistan muslim league-quaid (2002–present),,,,,,,,,,,,,,,,,,,,
JavedKausar,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,pakistani,,,,,,,,,,,pakistan tehreek-e-insaf,,,,,,,,,,,,,,,,,,,,
JawwadS.Khawaja,,,,,,,,lawrence college ghora galiaitchison collegeforman christian college universitypunjab university law college (llb)university of california| berkeley| united states (llm),,,,,,,,jawwad sajjad khawaja [1] (1950-09-10) september 10| 1950 (age 68)wazirabad| punjab| pakistan,,,,,,,pakistan,,,,,,,,,,,,,,,,,,,,pakistani,,,,,,,,,,,,,,,,,,islamabad| pakistan,,,,,,,,,,,,,
JehanzebJamaldini,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,pakistani,,,,,,,,,,,balochistan national party (bnp-m),,,,,,,,,,,,,,,,,,,,
JugnuMohsin,,,,,,,,university of cambridge,cpj international press freedom award (1999),,,,,,,syeda memnat hussain1958,,,,,,,,,,,,,,,,,,,,,,,,,,,pakistani,,,,,member of the  punjab assembly| newspaper publisher| satirist column writer| host of tv shows,,,,,,,,,,,moni mohsin (sister)mira sethi (daughter) ali sethi (son),,,,,,,,najam sethi,,,,,,,
KalsoomPerveen,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,pakistani,,,,,,,,,,,pakistan muslim league (n),,,,,,,,,,,,,,,,,,,,
KamranKhanBangash,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,pakistani,,,,,,,,,,,pakistan tehreek-e-insaf,,,,,,,,,,,,,,,,,,,,
KamranMichael,,,,,,,,punjab universityba[2],,,,,,,, (1973-10-09) october 9| 1973 (age 45)[1]lahore| punjab| pakistan|,,,,,,,,,,,,,,,,,,,,,,,,,,,pakistani,,,,,,,,,,,pakistan muslim league (n)(1993–present),,,,,,,,,,,,,,,,,,,,
KazimAliPirzada,,,,,,,,,,,,,,,, (1973-12-25) 25 december 1973 (age 44)bahawalpur,,,,,,,,,,,,,,,,,,,,,,,,,,,pakistani,,,,,,,,,,,pakistan muslim league (n),,,,riaz hussain pirzada (uncle)[1],,,,,,,,,,,,,,,,
KhalidaMansoor,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,pakistani,,,,,,,,,,,pakistan muslim league (n),,,,,,,,,,,,,,,,,,,,
KhalidMehmoodDogar,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,pakistani,,,,,,,,,,,pakistan muslim league (n),,,,,,,,,,,,,,,,,,,,
Khalil-ur-RehmanRamday,,,,,,,,punjab university(l.l.b and j.d.)guru nanak dev university (d.l),,,,,,,,khalil-ur-rehman ramday1945british punjab state| british indian empire,,,,,,aamena ramday aurangzaibmustafa ramday,,,,,,,,,,,,,,,,,,,,, pakistan,,,,krishan kishore grover goodwill gold medal,judge,,,,,,pakistan muslim league-(n),,lawyer and judge,,muhammad farooq ramday (brother)asad-ur-rehman ramday (brother)usman mahmood ramday (brother),,,,,,,,,quratulain ramday,,,,,,,
KhanAbdulWaliKhan,,,,,,,,,,,,,,,,(1917-01-11)11 january 1917utmanzai| british raj(now pakistan),,,,,,,,,,,,,,26 january 2006(2006-01-26) (aged 89)peshawar| khyber pakhtunkhwa| pakistan,,,,,,,,,,,,,,,,,,,,,,,,indian national congress (before 1947)national awami party (1957–1968)national awami party-wali (1968–1986)awami national party (1986–2006),,,,,,,,,,,,,,,,,,,,
KhanMuhammadDahri,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,pakistani,,,,,,,,,,,pakistan peoples party,,,,,,,,,,,,,,,,,,,,
KhawajaImranNazeer,,,,,,,,,,,,,,,, (1974-11-18) 18 november 1974 (age 44)lahore,,,,,,,,,,,,,,,,,,,,,,,,,,,pakistani,,,,,,,,,,,pakistan muslim league (n),,,,,,,,,,,,,,,,,,,,
KhawajaIzharulHassan,,,,,,,,,,,,,,,, (1971-10-26) 26 october 1971 (age 47)karachi| sindh|  pakistan,,,,,,,,,,standing committee on cooperatives (chairperson)  standing committee on information and archives standing committee on katchi abadies standing committee on planning| development and special initiatives,,,,,,mba| pimsatll.b.| university of karachib.sc| university of karachi,,,,,,,,,,,pakistani,,,,,,,,khawaja noorul hassan (father),,,muttahida qaumi movement,,politician| businessperson,,,,,,,,,,,,,,,,,,
KhawajaMuhammadAsif,,,,,,,,university of the punjab,,,,,,,, (1949-08-09) 9 august 1949 (age 69)sialkot| punjab| pakistan,,,,,,,,,,,,,,,,,,khawaja muhammad safdar,,,,,,,,,pakistani,,,,,,,,,,,pakistan muslim league (n),,,,shaza fatima khawaja (niece)[1],,,,,,,,,musarrat asif khawaja [1],,,,,,,
KhawajaMuhammadWaseem,,,,,,,,,,,,,,,, (1969-04-17) 17 april 1969 (age 49)narowal,,,,,,,,,,,,,,,,,,,,,,,,,,,pakistani,,,,,,,,,,,pakistan muslim league (nawaz),,,,,,,,,,,,,,,,,,,,
KhawajaSaadRafique,,,,,,,,punjab university(ba and ma),,,,,,,, (1962-11-04) november 4| 1962 (age 56)lahore| punjab| pakistan,,,,,,3[1],,,,,,,,,,,,,,,,,,,,,pakistani,,,,,,,,begum farhat rafique (mother),,,pakistan muslim league (n),,,,khawaja salman rafique (brother),,,,,,,,,ghazala saad rafique  shafaq hira (m. 2017),,,,,,,
KhayalAhmadKastro,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,pakistani,,,,,,,,,,,pakistan tehreek-e-insaf,,,,,,,,,,,,,,,,,,,,
KhayalZamanOrakzai,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,pakistani,est. ₨1.89 billion (us$18 million) (2017),,,,,,,,,,pakistan tehreek-e-insaf,,,,,,,,,,,,,,,,,,,,
KhudaBabar,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,pakistani,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
KhurramDastgirKhan,,,,,,,,california institute of technologybscbowdoin collegeba,,,,,,,, (1970-08-03) 3 august 1970 (age 48)gujranwala| punjab| pakistan,,,,,,,,,,,,,,,,,,ghulam dastgir khan,,,,,,,,,pakistani,,,,,,,,,,,pakistan muslim league (n),,,,,,,,,,,,,,,,,,,,
KhusroBakhtiar,,,,,,,,,,,,,,,, (1969-07-07) 7 july 1969 (age 49),,,,,,,,,,,,,,,,,,,,,,,,,,,pakistani,,,,,,,,,,,pakistan tehreek-e-insaf,,,,,makhdoom hashim jawan bakht (brother)[1],,,,,,,,,,,,,,,
KMShafiullah,,,,,,, bangladesh pakistan (before 1971),,bir uttom,,,,,bangladesh liberation war,,2 september 1934,,,,,,,,,"
chief of army staff
brigade commander of s force
sector commander of the sector 3
",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,major-general,,,,,,,,"
 bangladesh army
 pakistan army
",,,,,east bengal regiment,,,,
KulsoomAkhtarChandio,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,pakistani,,,,,,,,,,,pakistan peoples party,,,,,,,,,,,,,,,,,,,,
LaiqMuhammadKhan,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,pakistani,,,,,,,,,,,,,,,,azam khan swati (brother)[1],,,,,,,,,,,,,,,
LalChandUkrani,,,,,,,,,,,,,,,, (1969-02-01) 1 february 1969 (age 49)jamshoro,,,,,,,,,,,,,,,,,,,,,,,,,,,pakistani,,,,,,,,,,,pakistan peoples party,,,,,,,,,,,,,,,,,,,,
LiaqatKhanTarakai,,,,,,,,,,,,,,,,,,,,,,shahram khan,,,,,,,,,,,,,,,,,,,,,pakistani,,,,,,,,,,,pakistan tehreek-e-insaf,,,,,usman khan tarrakai (brother)mohammad ali tarkai (brother),,,,,,,,,,,,,,,
LiaquatAliAskani,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,pakistani,,,,,,,,,,,pakistan peoples party,,,,,,,,,,,,,,,,,,,,
LiaquatAliKhan,,,,,,,,aligarh muslim university(bsc in polysci)oxford university(llb in civil law)inns of court school of law,,,,,,,,nawab liaquat ali khan(1895-10-01)1 october 1895karnal| punjab| british india (now in haryana| india),,,,,ballistic trauma,, british india(1895–47) pakistan(1947–51),,,,,,,16 october 1951(1951-10-16) (aged 56)rawalpindi| punjab| pakistan,,,,,,,,,,,,,,,,,,,,,,,,all-india muslim league(1921–1947)pakistan muslim league(1947-1951),,lawyer| statesman,,,,,,mazar-e-quaid in karachi,,,,,"jehengira begum(m. 1918)
ra'ana liaquat ali khan(m. 1945)",,,,liaquat ali khanofficial website,,,
MadihaNisar,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,pakistani,,,,,,,,,,,pakistan tehreek-e-insaf,,,,,,,,,,,,,,,,,,,,
MahmoodKhan,,,,,,,,,,,,,,,, (1972-10-30) 30 october 1972 (age 46)matta| khyber pakhtunkhwa| pakistan,,,,,,,,,,,,,,,,,,,,,,,,,,,pakistani,,,,,,,,,,,pakistan tehreek-e-insaf,,,,,,,,,,,,,,,,,,,,
MahmoodulHaq,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,pakistani,,,,,,,,,,,pakistan muslim league (n),,,,,,,,,,,,,,,,,,,,
MahmoudJan,,,,,,,,,,,,,,,,1930 (age 87–88),,,,,,,,,,,,,,,,,800 metres,,,,,,,,,,pakistani,,,,,,,,,,,,,,,,,,,,,,,middle-distance running,,,,,,,,
MakhdoomFawazAhmedHashmi,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,pakistani,,,,,,,,,,,pakistan tehreek-e-insaf,,,,,,,,,,,,,,,,,,,,
MakhdoomMehboobZaman,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,makhdoom jameeluz zaman[1],,,,,,,,,pakistani,,,,,,,,,,,pakistan peoples party,,,,,ameen faheem (grandfather),,,,,,,,,,,,,,,
MakhdoomSyedIftikharHassanGillani,,,,,,,,,,,,,,,, (1958-12-23) 23 december 1958 (age 59)bahawalpur,,,,,,,,,,,,,,,,,,,,,,,,,,,pakistani,,,,,,,,,,,bahawalpur national awami party,,,,,,,,,,,,,,,,,,,,
MakhdoomSyedSamiUlHassanGillani,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,pakistani,,,,,,,,,,,pakistan tehreek-e-insaf,,,,,,,,,,,,,,,,,,,,
MalihaAliAsgharKhan,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,pakistani,,,,,politician,,,,,,pakistan tehreek-e-insaf (pti),,,,,asghar khan (father-in-law),,,,,,,,ali asghar khan,,,,,,,
MalikAamirDogar,,,,,,,,,,,,,,,, (1972-01-01) 1 january 1972 (age 46)multan,,,,,,,,,,,,,,,,,,,,,,,,,,,pakistani,,,,,,,,,,,pakistan tehreek-e-insaf,,,,,,,,,,,,,,,,,,,,
MalikAhmadAliAulakh,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,pakistani,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
MalikAhmadKhan,,,,,,,,,,,,,,,, (1971-11-29) 29 november 1971 (age 47)kasur,,,,,,,,,,,,,,,,,,,,,,,,,,,pakistani,,,,,,,,,,,pakistan muslim league (n),,,,,,,,,,,,,,,,,,,,
MalikAhmadSaeedKhan,,,,,,,,,,,,,,,, (1975-03-23) 23 march 1975 (age 43)kasur,,,,,,,,,,,,,,,,,,,,,,,,,,,pakistani,,,,,,,,,,,pakistan muslim league (n),,,,,,,,,,,,,,,,,,,,
MalikAminAslam,,,,,,,,aitchison college university of engineering and technology| lahore mcgill university oxford university,,,,,,,,november 27| 1966 (age 51)karachi| sindh| pakistan,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,pakistan tehreek-e-insaf (2011-present),,politician,,,,,,,,,,,,,,,,,,
MalikAnwarTaj,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,pakistani,,,,,,,,,,,pakistan tehreek-e-insaf,,,,,,,,,,,,,,,,,,,,
MalikGhulamHabibAwan,,,,,,,,,,,,,,,, (1965-08-17) 17 august 1965 (age 53)lahore,,,,,,,,,,,,,,,,,,,,,,,,,,,pakistani,,,,,,,,,,,pakistan muslim league (n),,,,,,,,,,,,,,,,,,,,
MalikGhulamRasoolSangha,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,pakistani,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
MalikKaramatKhokhar,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,pakistani,,,,,,,,,,,pakistan tehreek-e-insaf,,,,,,,,,,,,,,,,,,,,
MalikKhalidMehmoodBabar,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,pakistani,,,,,,,,,,,pakistan muslim league (n),,,,,,,,,,,,,,,,,,,,
MalikMazharAbbasRaan,,,,,,,,,,,,,,,, (1953-02-01) 1 february 1953 (age 65)multan,,,,,,,,,,,,,,,,,,,,,,,,,,,pakistani,,,,,,,,,,,pakistan muslim league (n),,,,,,,,,,,,,,,,,,,,
MalikMuhammadAnwar,,,,,,,,,,,,,,,, (1950-04-25) april 25| 1950 (age 68)pindi gheb| attock district| pakistan,,,,,,,,,,,,,,,,,,,,,,,,,,,pakistani,,,,,,,,,,,pakistan tehreek-e-insaf,,,,,,,,,,,,,,,,,,,,
MalikMuhammadWaheed,,,,,,,,,,,,,,,, (1972-08-01) 1 august 1972 (age 46)lahore,,,,,,,,,,,,,,,,,,,,,,,,,,,pakistani,,,,,,,,,,,pakistan muslim league (nawaz),,,,,,,,,,,,,,,,,,,,
MalikMuhammadWarisKallu,,,,,,,,,,,,,,,, (1951-11-01) 1 november 1951 (age 67)khushab district,,,,,,,,,,,,,,,,,,,,,,,,,,,pakistani,,,,,,,,,,,pakistan muslim league (n),,,,,,,,,,,,,,,,,,,,
MalikMukhtarAhmad,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,pakistani,,,,,,,,,,,pakistan tehreek-e-insaf,,,,,,,,,,,,,,,,,,,,
MalikNadeemAbbas,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,pakistani,,,,,,,,,,,pakistan tehreek-e-insaf,,,,,,,,,,,,,,,,,,,,
MalikNadeemKamran,,,,,,,,,,,,,,,, (1953-08-03) 3 august 1953 (age 65)sahiwal,,,,,,,,,,,,,,,,,,,,,,,,,,,pakistani,,,,,,,,,,,pakistan muslim league (n),,,,,,,,,,,,,,,,,,,,
MalikNaeemKhanBazai,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,pakistani,,,,,,,,,,,awami national party,,,,,,,,,,,,,,,,,,,,
MalikNawabSherWaseer,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,pakistani,,,,,,,,,,,pakistan tehreek-e-insaf,,,,,,,,,,,,,,,,,,,,
MalikRiazKhan,,,,,,,,,,,,,,,, (1948-07-13) 13 july 1948 (age 70)[1]bannu district,,,,,,,,,,,,,,,,,,,,,,,,,,,pakistani,,,,,politician,,,,,, jamiat ulema-e-islam (f),,,,,,,,,,,,,,,,,,,,
MalikSaifulMalookKhokhar,,,,,,,,,,,,,,,, (1967-06-18) 18 june 1967 (age 51)lahore,,,,,,,,,,,,,,,,,,,,,,,,,,,pakistani,,,,,,,,,,,pakistan muslim league (n),,,,afzal khokhar (brother)[1],,,,,,,,,,,,,,,,
MalikShaukatAli,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,pakistani,,,,,,,,,,,pakistan tehreek-e-insaf,,,,,,,,,,,,,,,,,,,,
MalikShehzadAwan,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,pakistani,,,,,,,,,,,pakistan tehreek-e-insaf,,,,,,,,,,,,,,,,,,,,
MalikSikandarKhan,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,pakistani,,,,,,,,,,,muttahida majlis-e-amal,,,,,,,,,,,,,,,,,,,,
MalikTaimoorMasood,,,,,,,,,,,,,,,, (1977-09-21) 21 september 1977 (age 41)wah cantonment,,,,,,,,,,,,,,,,,,,,,,,,,,,pakistani,,,,,,,,,,,pakistan tehreek-e-insaf,,,,,,,,,,,,,,,,,,,,
ManglaSharma,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,pakistani,,,,,,,,,,,muttahida qaumi movement,,,,,,,,,,,,,,,,,,,,
MariaFatima,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,pakistani,,,,,,,,,,,pakistan tehreek-e-insaf,,,,,,,,,,,,,,,,,,,,
MarviMemon,,,,,,,,london school of economics,,,,,,,,1972 (age 45–46)[1][2]karachi| sindh province| pakistan,,,,,,,,,,,,,,,,,,nisar memon,,,,,,,,,pakistani,,,,,,,,,,,pakistan muslim league (n),,,,,,,,,,,,,ishaq dar,,,,,,,
MaryDeros,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,vision montreal (1998-2007)union montreal (2007-2012)independent (2012-2013)équipe denis coderre (2013-present),,,,,,,,,,,,,,,,,,,,
MeharMuhammadAslamBharwana,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,pakistani,,,,,,,,,,,pakistan tehreek-e-insaf,,,,,,,,,,,,,,,,,,,,
MehdiHassanBhatti,,,,,,,,,,,,,,,, (1955-10-04) october 4| 1955 (age 63)hafizabad,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,pakistan muslim league (q) (2002-2013)pakistan people party (1993-2002)islami jamhoori ittehad (1988-1993),,,,pakistan tehreek-e-insaf (2017-),,,,,,,,,,,,,,,,,,,,
MehmoodAbdulRazzaque,,,,,,,,,,,,,,,, (1976-03-09) 9 march 1976 (age 42)karachi,,,,,,,,,,,,,,,,,,,,,,,,,,,pakistani,,,,,,,,,,,mutahida quami movement,,,,,,,,,,,,,,,,,,,,
Mehmood-ur-Rasheed,,,,,,,,,,,,,,,, (1954-04-21) 21 april 1954 (age 64)lahore| punjab| pakistan,,,,,,,,,,,,,,,,,,,,,,,,,,,pakistani,,,,,,,,,,,pakistan tehreek-e-insaf,,,,,,,,,,,,,,,,,,,,
MehwishSultana,,,,,,,,,,,,,,,, (1980-08-30) 30 august 1980 (age 38)chakwal,,,,,,,,,,,,,,,,,,,,,,,,,,,pakistani,,,,,,,,,,,pakistan muslim league (n),,,,,,,,,,,,,,,,,,,,
MianAbdulRauf,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,pakistani,,,,,,,,,,,pakistan muslim league (n),,,,,,,,,,,,,,,,,,,,
MianAlamdarAbbasQureshi,,,,,,,,,,,,,,,, (1963-01-01) 1 january 1963 (age 55)muzaffargarh,,,,,,,,,,,,,,,,,,,,,,,,,,,pakistani,,,,,,,,,,,pakistan muslim league (nawaz),,,,,,,,,,,,,,,,,,,,
MianIrfanAqeelDaultana,,,,,,,,,,,,,,,, (1976-03-29) 29 march 1976 (age 42)lahore,,,,,,,,,,,,,,,,,,,,,,,,,,,pakistani,,,,,,,,,,,pakistan muslim league (nawaz),,,,,,,,,,,,,,,,,,,,
MianJaleelAhmed,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,pakistani,,,,,,,,,,,pakistan muslim league (n),,,,,,,,,,,,,,,,,,,,
MianJavedLatif,,,,,,,,,,,,,,,, (1964-02-22) 22 february 1964 (age 54),,,,,,,,,,,,,,,,,,,,,,,,,,,pakistani,,,,,,,,,,,pakistan muslim league (n),,,,,,,,,,,,,,,,,,,,
MianKhalidMehmood,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,pakistani,,,,,,,,,,,pakistan tehreek-e-insaf,,,,,,,,,,,,,,,,,,,,
MianMarghoobAhmad,,,,,,,,,,,,,,,, (1959-01-01) 1 january 1959 (age 59)lahore,,,,,,,,,,,,,,,,,,,,,,,,,,,pakistani,,,,,,,,,,,pakistan muslim league (n),,,,,,,,,,,,,,,,,,,,
MianMuhammadAkhtarHayat,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,pakistani,,,,,,,,,,,pakistan tehreek-e-insaf,,,,,,,,,,,,,,,,,,,,
MianMuhammadAsifKathia,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,pakistani,,,,,,,,,,,pakistan tehreek-e-insaf,,,,,,,,,,,,,,,,,,,,
MianMuhammadAslamIqbal,,,,,,,,,,,,,,,, (1969-04-20) 20 april 1969 (age 49)lahore,,,,,,,,,,,,,,,,,,,,,,,,,,,pakistani,,,,,,,,,,,pakistan tehreek-e-insaf,,,,,,,,,,,,,,,,,,,,
MianMuhammadShafiq,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,pakistani,,,,,,,,,,,pakistan tehreek-e-insaf,,,,,,,,,,,,,,,,,,,,
MianMuhammadShoaibAwaisi,,,,,,,,,,,,,,,, (1971-08-06) 6 august 1971 (age 47)bahawalpur,,,,,,,,,,,,,,,,,,,,,,,,,,,pakistani,,,,,,,,,,,pakistan muslim league (nawaz),,,,,,,,,,,,,,,,,,,,
MianMujtabaShuja-ur-Rehman,,,,,,,,,,,,,,,, (1967-09-01) 1 september 1967 (age 51)lahore,,,,,,,,,,,,,,,,,,,,,,,,,,,pakistani,,,,,,,,,,,pakistan muslim league (n),,,,,,,,,,,,,,,,,,,,
MianNaveedAli,,,,,,,,,,,,,,,, (1987-06-14) 14 june 1987 (age 31)rahimyar khan,,,,,,,,,,,,,,,,,,,,,,,,,,,pakistani,,,,,,,,,,,pakistan muslim league (nawaz),,,,,,,,,,,,,,,,,,,,
MianNisarGul,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,pakistani,,,,,,,,,,,muttahida majlis-e-amal,,,,,,,,,,,,,,,,,,,,
MianSaqibNisar,,,,,,,,government college universitypunjab university,,,,,,,,mian saqib nisar (1954-01-18) 18 january 1954 (age 64)lahore| punjab| pakistan,,,,,,,pakistani,,,,,,,,,,,,,,,,,,,, pakistan,,,,,chief justice,,,,,,,,advocate,,,,,lahore| punjab pakistan,,,,,,,,,,,,,
MianTariqAbdullah,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,pakistani,,,,,,,,,,,pakistan tehreek-e-insaf,,,,,,,,,,,,,,,,,,,,
MianYawarZaman,,,,,,,,,,,,,,,, (1961-03-21) 21 march 1961 (age 57)okara| pakistan,,,,,,,,,,,,,,,,,,,,,,,,,,,pakistani,,,,,,,,,,,pakistan muslim league (n),,,,,,,,,,,,,,,,,,,,
MirGhulamAliTalpur,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,pakistani,,,,,,,,,,,pakistan peoples party,,,,,,,,,,,,,,,,,,,,
MirKabeerAhmedMuhammadShahi,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,pakistani,,,,,,,,,,,national party,,,,,,,,,,,,,,,,,,,,
MirKhanMuhammadJamali,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,pakistani,,,,,,,,,,,pakistan tehreek-e-insaf,,,,,zafarullah khan jamali[1],,,,,,,,,,,,,,,
MirMuhammadYousafBadini,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,pakistani,,,,,,,,,,,pakistan peoples party,,,,,usman badini (brother),,,,,,,,,,,,,,,
MirNaimatullahZehri,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,pakistani,,,,,,,,,,,pakistan tehreek-e-insaf,,,,sanaullah khan zehri (brother),,,,,,,,,,,,,,,,
MirNaseebullahKhan,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,pakistani,,,,,,,,,,,pakistan tehreek-e-insaf,,,,,,,,,,,,,,,,,,,,
