Name,1969–1972,1972–1988,1974–1986,1980–1992,1983–1985,1984–1999,1985–1988,1988–1990,1990–1992,1991,1992–1995,1993–1996,1995,1995–1998,1995–2000,1997–1998,1997–1999,2000–2001,2000–2003,2002–2004,2003–2004,2004–2008,2005–2006,2006,2006–2008,2008–2010,2010–2018,2011–2012,2018–,allegiance,alma mater,awards,battles/wars,born,cabinet,children,citizenship,combined total,commands,country represented,current team,date of birth,denomination,died,domestic partner,education,ethnicity,father,former choreographer,former coach,free skate,full name,height,house,known for,mother,nationality,net worth,nickname(s),number,occupation,ordination,other politicalaffiliations,parents,place of birth,playing position,political party,positions,previous post,previous post,profession,rank,relations,relatives,religion,residence,resting place,retired,salary,service/branch,short program,skating club,spouse(s),total,unit,website,years,years of service,years active
JeanneSiméon,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,university of leedsuniversity of york,,, (1952-07-28) 28 july 1952 (age 66) [1],,,,,,,,,,,,,,,,,,,,,,,,,,,cabinet minister,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Jean-PaulAdam,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,university of sheffield  university of manchester,,, (1977-05-12) 12 may 1977 (age 41)mahé| seychelles,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,people's party,,,,,,,,,,,,,,,,,,,,,,
JeanStothert,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,seattle pacific university,,, (1954-02-07) february 7| 1954 (age 64)[citation needed]wood river| illinois| u.s.[1],,elizabeth (born 1987)andrew (born 1989),,,,,,,,,,,,,,,,,,,,,,,,,mayor,,,,,,republican,,,,nurse,,,,,,,,,,,,joe stothert (m. 1981),,,official website,,,
JeffLongwell,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,wichita state university,,,,,3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,republican,,,,business owner| politician,,,,,,,,,,,,susie (m. 1980)[1],,,government website,,,
JeffreyLam,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,st. joseph's collegetufts university (bsme),,, (1951-10-23) 23 october 1951 (age 67)british hong kong,,,,,,,,,,,,,,,,,,,,,,,,,,,managing director,,liberal party (quit 2008),,,,business and professionals alliance for hong kongeconomic synergy,,,,,,,,,,,,,,,,cynthia lam,,,,,,
JennyDurkan,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,, (1958-05-19) may 19| 1958 (age 60)seattle| washington| u.s.,,,,,,,,,,,dana garvey,university of notre dame (ba)university of washington| seattle (jd),,,,,,,,,,,,,,,,,,,,,democratic,,,,,,,,,,,,,,,,,,,,,,
JeremyCorbyn,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,north london polytechnic,,,jeremy bernard corbyn (1949-05-26) 26 may 1949 (age 69)chippenham| england,,3 sons,,,,,,,,,,castle house schooladams' grammar school,,,,,,,,,,,,,,,,,,,,,labour,,,,,,,piers corbyn (brother),,finsbury park| north london[1][2],,,,,,,jane chapman(m. 1974; div. 1979)claudia bracchitta(m. 1987; div. 1999)laura álvarez (m. 2012),,,official website,,,
JeremyHeywood,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,bootham schoolhertford college| oxfordlondon school of economics,,,jeremy john heywood(1961-12-31)31 december 1961glossop| derbyshire| england,,3,,,,,,,,4 november 2018(2018-11-04) (aged 56),,,,,,,,,,,,,british,,,,,,,,,,,,,,,,,,,,,,,,,,suzanne cook (m. 1997),,,,,,
JillEvans,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,university of wales| aberystwythglamorgan university (now the university of south wales),,, (1959-05-08) 8 may 1959 (age 59)ystrad rhondda| glamorgan| wales,,,,,,,,,,,,,,,,,,,,,,,welsh,,,,member of the european parliament,,,,,, welshplaid cymru eueuropean free alliance,,,,,,,,,,,,,,,,syd morgan,,,http://www.jillevans.net/,,,
JimAllister,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,queen's university| belfast,,, (1953-04-02) 2 april 1953 (age 65)listooder| crossgar| northern ireland,,3,,,,,,,,,,,,,,,,,,,,,british,,,,politician,,dup (1971–2007),,,,traditional unionist voice,,,,barrister,,,,,,,,,,,,ruth allister,,,official website,,,
JimClyburn,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,james enos clyburn (1940-07-21) july 21| 1940 (age 78)sumter| south carolina| u.s.,,mignon,,,,,,,,,,south carolina state university (ba),,,,,,,,,,,,,,,,,,,,,democratic,,,,,,,,,,,,,,,,emily clyburn,,,,,,
JimKenney,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,la salle university (ba),,,james francis kenney (1958-08-07) august 7| 1958 (age 60)philadelphia| pennsylvania| u.s.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,democratic,,,,,,,,,,,,,,,,,,,government website,,,
JimMattis,,,,,,,,,,,,,,,,,,,,,,,,,,,,,, united states,,defense distinguished service medal (2)navy distinguished service medaldefense superior service medallegion of meritbronze star (with valor)meritorious service medal (3),persian gulf warwar in afghanistaniraq war • invasion of iraq • first battle of fallujah • second battle of fallujah,james norman mattis (1950-09-08) september 8| 1950 (age 68)pullman| washington| u.s.,,,,,u.s. central commandu.s. joint forces commandsupreme allied commander transformationi marine expeditionary forceu.s. marine forces central commandmarine corps combat development command1st marine division1st marine expeditionary brigade7th marine regiment1st battalion| 7th marines,,,,,,,central washington university (ba)national defense university (ma),,,,,,,,,,,,$5 million[1],"""chaos"" (callsign)[2]""warrior monk""[2][3]""mad dog""[3]",,,,,,,,,,,,, general,,,,,,,, united states marine corps,,,,,,,,1969–2013,
JimNicholson(SecretaryofVeteransAffairs),,,,,,,,,,,,,,,,,,,,,,,,,,,,,, united states,,bronze starcombat infantryman badgemeritorious service medalvietnam gallantry crossair medal (2),vietnam war,robert james nicholson (1938-02-04) february 4| 1938 (age 80)struble| iowa| u.s.,,3,,,,,,,,,,united states military academy (bs)columbia university (mpp)university of denver (jd),,,,,,,,,,,,,,,,,,,,,republican,,,,, colonel,,,,,,,, united states army,,,suzanne ferrell,,,,,1961–1991,
"JimWallace,BaronWallaceofTankerness",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,downing college| cambridgeuniversity of edinburgh,,, (1954-08-25) august 25| 1954 (age 64)annan| scotland| united kingdom,,,,,,,,,,,,annan academy| dumfriesshire,,,,,,,,,,,,,,,,,,,,,liberal democrats,,,,,,,,,,,,,,,,,,,,,,
JimYongKim,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,, (1959-12-08) december 8| 1959 (age 58)seoul| south korea,,2,,,,,,,,,,university of iowabrown university (bs)harvard university (md| phd),,,,,,,,,,,,,,,,,,,,,democratic,,,,,,,,,,,,,,,,younsook lim,,,,,,
JoeCrowley,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,, (1962-03-16) march 16| 1962 (age 56)new york city| new york| u.s.,,3,,,,,,,,,,city university of new york| queens (ba),,,,,,,,,,,,,,,,,,,,,democratic,,,,,,,,,,,,,,,,kasey nilson,,,,,,
JoeHogsett,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,joseph hadden hogsett (1956-11-02) november 2| 1956 (age 62)rushville| indiana| u.s.,,,,,,,,,,,,indiana university| bloomington (ba| jd)butler university (mdiv),,,,,,,,,,,,,,,,,,,,,democratic,,,,,,,,,,,,,,,,stephanie hogsett,,,,,,
JohannSchneider-Ammann,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,eth zürichinsead,,,johann niklaus schneider (1952-02-18) 18 february 1952 (age 66)sumiswald| canton of bern| switzerland,,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,fdp.the liberals,,,,,,,,,,,,,,,,katharina ammann,,,,,,
JohanVanOvertveldt,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,, (1955-08-24) 24 august 1955 (age 63)mortsel| belgium,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,new flemish alliance,,,,,,,,,,,,,,,,,,,,,,
JohnJ.Sullivan(diplomat),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,john joseph sullivan (1959-11-20) november 20| 1959 (age 59)boston| massachusetts| u.s.,,3,,,,,,,,,,brown university (ba)columbia university (jd),,,,,,,,,,,,,,,,,,,,,republican,,,,,,,,,,,,,,,,grace rodriguez,,,,,,
JohnRoberts,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,john glover roberts jr. (1955-01-27) january 27| 1955 (age 63)buffalo| new york| u.s.,,2,,,,,,,,,,harvard university (ba| jd),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,jane sullivan (m. 1996),,,,,,
JohnstonFernando,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,st.anne's college| kurunegala,,, (1964-12-05) 5 december 1964 (age 53),,,,,,,,,,,,,,,,,,,,,,,sri lankan,,,,businessman,,united people's freedom alliance,,,,united national party (democratic),,,,,,,,,61 wilgoda road| kurunegala,,,,,,,,,,johnstonfernando.lk,,,
JohnSuthers,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,university of notre dameuniversity of colorado| boulder,,,john william suthers (1951-10-18) october 18| 1951 (age 67)denver| colorado| u.s.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,republican,,,,,,,,,,,,,,,,janet suthers,,,,,,
JonathanRothschild,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,kenyon college (b.a.)university of new mexico (j.d.),,,1955 (age 62–63)tucson| arizona| u.s.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,democratic,,,,,,,,,,,,,,,,karen spiegel rothschild[1],,,mayorrothschild.com,,,
JosephE.Aoun,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,massachusetts institute of technologyuniversity of paris viiiuniversité saint-joseph,,,march 26| 1953beirut| lebanon,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,office of the president| northeastern university,,,
JosephMucheru,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,city university london. (bsc.economics & computer science),,,limuru,,,,,,,,,,,,,,,,,,,,,,,kenyan,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
JosephOleNkaissery,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,kenyatta universityus army war college,,,(1949-11-28)28 november 1949kajiado county| kenya colony,,,,,,,,,,8 july 2017(2017-07-08) (aged 67)nairobi| kenya,,,,,,,,,,,,,kenyan,,,,,,,,,,odm (2005–2014),,,,,,,,,,,,,,,,hellen nkaissery (m. 1978–2017),,,,,,
JosephYam,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,university of hong kong,,,joseph yam chi-kwong (1948-09-09) 9 september 1948 (age 70)[1],,,,,,,,,,,,,,,,,,,,,,,hong kong chinese,,,,retired,,,,,,none,,,,economiststatistician,,,,,,,,,,,,,,,,,,
JoshuaLaw,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,st peter's college| oxford,,,1957 (age 60–61),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
JudyWakhungu,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,st. lawrence university (bsc)acadia university (msc)penn state university (phd),,,bungoma| kenya,,,,,,,,,,,,,,,,,,,,,,,kenyan,,,,,,,moody awori| rosi awori,,,,,,,,,,,,paris| france,,,,,,,,,,,,,
JürgStahl,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,, (1968-01-16) 16 january 1968 (age 50)winterthur| switzerland,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,swiss people's party,,,,,,,,,,,,,,,,,,,,,,
JustinMuturi,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,university of nairobi,,, (1956-04-28) 28 april 1956 (age 62),,,,,,,,,,,,,,,,,,,,,,,kenyan,,,,,,,,,,tna,,,,,,,,,,,,,,,,,,,,,,
KajsaOllongren,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,university of amsterdam  (bachelor of arts| master of arts)  école nationale d'administration  (bachelor of public administration| master of public administration),,,karin hildur ollongren (1967-05-28) 28 may 1967 (age 51)leiden| netherlands,,2 sons,,,,,,,,,,,,,,,,,,,,,dutch–swedish,,,,politician · civil servant,,,,,,democrats 66  (from 1993),,,,,,,,,amsterdam| netherlands,,,,,,,irene van den brekel,,,(in english) minister of the interior and kingdom relations,,,
KaruJayasuriya,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,sri lanka,ananda college| colombo,,1971 jvp insurrection, (1940-09-29) 29 september 1940 (age 78),,,,,,,,,,,,,,,,,,,,,,,sri lankan,,,,politics| diplomat,,,,,,united national party,,,,businessman,second lieutenant,,,,,,,,ceylon army volunteer force,,,,,ceylon national guard,official website,,1965 - 1972,
KeishaLanceBottoms,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,keisha lance (1970-01-18) january 18| 1970 (age 48)atlanta| georgia| u.s.,,4,,,,,,,,,,florida a&m university (ba)georgia state university (jd),,,,,,,,,,,,,,,,,,,,,democratic,,,,,,,major lance (father),,,,,,,,,derek w. bottoms,,,official website,,,
KenLivingstone,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,philippa fawcett teacher training college,,,kenneth robert livingstone (1945-06-17) 17 june 1945 (age 73)lambeth| london| england| uk,,5,,,,,,,,,,,,,,,,,,,,,,,,,,,labour (1968–2000; 2003–2018)[1],,,,independent (2000–2003; 2018–present),,,,,,,,,,,,,,,,christine chapman (1973–1982)emma beal (2009–present)[2],,,,,,
KennethLusaka,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,18 september 1963bungoma county,,,,,,,,,,,,,,,,,,,,,,,kenyan,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
KevinFaulconer,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,kevin lee faulconer (1967-01-24) january 24| 1967 (age 51)san jose| california| u.s.[1],,2,,,,,,,,,,san diego state university (ba),,,,,,,,,,,,,,,,,,,,,republican,,,,,,,,,,,,,,,,katherine stuart,,,government website,,,
KevinMcCarthy(Californiapolitician),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,kevin owen mccarthy (1965-01-26) january 26| 1965 (age 53)bakersfield| california| u.s.,,2,,,,,,,,,,california state university| bakersfield (bs| mba),,,,,,,,,,,,,,,,,,,,,republican,,,,,,,,,,,,,,,,judy wages (m. 1992),,,house websiteparty website,,,
KevinYeung,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,university of hong kongrmit university,,, (1963-01-26) january 26| 1963 (age 55),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
KhalidbinAhmedAlKhalifa,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,st. edward's university,,, (1960-04-24) 24 april 1960 (age 58)manama| bahrain,,,,,,,,,,,,,,,,,,,,,,,bahraini,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
KhandakerMosharrafHossain,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,buetstrathclyde university,,, (1942-09-29) september 29| 1942 (age 76),,,,,,,,,,,,m. engg.,,,,,,,,,,,,,,,politician,,,,,,bangladesh awami league,,,,,,,,,,,,,,,,,,,,,,
KhawBoonWan,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,university of newcastle,,, (1952-12-08) 8 december 1952 (age 65)penang| federation of malaya (now malaysia),,,,,,,,,,,,,,,,,,,,,,,singaporean,,,,,,,,,,people's action party (2001),,,,,,,,,,,,,,,,,,,,,,
KimDarroch,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,nigel kim darroch (1954-04-30) 30 april 1954 (age 64)county durham| england[2],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
KirstyWilliams,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,university of manchester,,, (1971-03-19) 19 march 1971 (age 47)taunton| england| uk,,3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,liberal democrats,,,,,,,,,,,,,,,,richard rees,,,,,,
KoenGeens,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,university of antwerpcatholic university of leuvenharvard university,,, (1958-01-22) 22 january 1958 (age 60)brasschaat| belgium,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,christian democratic and flemish,,,,,,,,,,,,,,,,,,,,,,
KrisPeeters,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,university of antwerp| vlerick business school,,, (1962-05-18) 18 may 1962 (age 56)reet| belgium,,karel,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,cd&v,,,,,,,,,,,,,,,,ann,,,,,,
K.Shanmugam,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,national university of singapore,,,kasiviswanathan shanmugam (1959-03-26) 26 march 1959 (age 59)singapore,,2 (from prev. marriage)[1],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,, people's action party,,,,,,,,,,,,,,,,seetha subbiah (m. 2008); jothie rajah(div. 2008),,,,,,
KwaGeokChoo,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,methodist girls' school[1]raffles institutionraffles collegeuniversity of cambridge,,,(1920-12-21)21 december 1920singapore,,lee hsien loong (son)lee hsien yang (son)lee wei ling (daughter),,,,,,,,2 october 2010(2010-10-02) (aged 89)singapore,,,,kwa siew tee,,,,,,,,wee yew neo,,,,,lawyer[2],,,,,,people's action party (1959-1990),,,,,,,,,,mandai crematorium,,,,,,lee kuan yew (m. 1950–2010),,,,,,
LamChing-choi,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,university of hong kong,,,1960 (age 57–58)british hong kong,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
LaToyaCantrell,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,, (1972-04-03) april 3| 1972 (age 46)los angeles| california| u.s.,,rayann cantrell,,,,,,,,,,xavier university| louisiana (ba),,,,,,,,,,,,,,,,,,,,,democratic,,,,,,,,,broadmoor| new orleans| louisiana,,,,,,,jason cantrell,,,official website,,,
LauKong-wah,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,st. paul collegesir robert black college of educationuniversity of exetercity polytechnic of hong kong.,,, (1957-06-22) 22 june 1957 (age 61)british hong kong,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,united democrats (1991–93)civil force (1993–present)dab (1998–present),,,,,,,,,,,,,,,,mu fee-man,,,,,,
LauraCha,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,ba| university of wisconsin–madisonjd| santa clara university,,, (1949-12-05) december 5| 1949 (age 68)shanghai| china,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
LawChi-kwong,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,king's college| hong konguniversity of hong konguniversity of california| los angeles,,, (1953-11-01) 1 november 1953 (age 65)british hong kong,,,,,,,,,,,,,,,,,,,,,,,,,,,associate professor,,,,,,united democrats (1990–1994)democratic party (1994–2017),,,,,,,,,hong kong,,,,,,,,,,,,,
LawrenceWong,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,university of wisconsin–madisonuniversity of michigan–ann arborharvard university,,,lawrence wong shyun tsai (1972-12-18) 18 december 1972 (age 45)singapore,,,,,,,,,,,,,,,,,,,,,,,singaporean,,,,,,,,,,people's action party,,,,,,,,,,,,,,,,,,,,,,
LeeBoonChye,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,lee boon chye (1959-09-26) 26 september 1959 (age 59)segamat| johor| federation of malaya (now malaysia),,,malaysian,,,,,,,,,,,,,,,,,,,,,,,,politician,,pakatan harapan,,,,pkr,,,,cardiologist,,,,,,,,,,,,lo lee hong,,,,,,
LeeBrand,,,,,,,,,,,,,,,,,,,,,,,,,,,,,, united states of america,california state university|fresnouniversity of southern california,,, (1949-04-05) april 5| 1949 (age 69)the dalles| oregon| u.s.,,4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,republican,,,,,,,,,,,,,california air national guard,,,trish brand (m. 1980),,,,,1967–1973,
LeelaDeviDookhun,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,, (1961-04-16) 16 april 1961 (age 57)bonne terre| vacoas-phoenix| mauritius,,,,,,,,,,,,,,,,,,,,,,,,,,,educator,,,,,,militant socialist movement,,,,,,,,,,,,,,,,,,,[1][2],,,
LennyCurry,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,university of florida,,,leonard boyd curry (1970-07-19) july 19| 1970 (age 48)key west| florida| u.s.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,republican,,,,,,,,,,,,,,,,molly curry,,,office of the mayor,,,
LibbySchaaf,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,rollins college (ba)loyola law school (jd),,,elizabeth beckman schaaf (1965-11-12) november 12| 1965 (age 53)oakland| california| u.s.,,,,,,,,,,,,,,,,,,,,,,,american,,,,,,,,,,democratic,,,,,,,,,,,,,,,,,,,mayor of oakland,,,
LiChen(diplomat),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,chinese,,,,diplomat,,,,,,communist party of china,,,,,,,,,doha| qatar,,,,,,,,,,,,,
LimBiowChuan,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,national university of singapore,,, (1963-05-22) 22 may 1963 (age 55)colony of singapore,,,,,,,,,,,,,,,,,,,,,,,singaporean,,,,,,,,,,people's action party (2011),,,,,,,,,,,,,,,,,,,,,,
LindaSánchez,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,linda teresa sánchez (1969-01-28) january 28| 1969 (age 49)orange| california| u.s.,,3,,,,,,,,,,university of california| berkeley (ba)university of california| los angeles (jd),,,,,,,,,,,,,,,,,,,,,democratic,,,,,,,loretta (sister),,,,,,,,,james sullivan (m. 2009),,,,,,
LindsayHoyle,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,, (1957-06-10) 10 june 1957 (age 61)chorley| lancashire| england,,,,,,,,,,,,,,,,,,,,,,,british,,,,politician,,,,,,labour,,,,,,doug hoyle (father),,,chorleylondon,,,,,,,catherine swindley (m. 1993),,,,,,
LizSavilleRoberts,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,aberystwyth university,,, (1964-12-16) 16 december 1964 (age 53)eltham| london| england,,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,plaid cymru,,,,,,,,,,,,,,,,dewi wyn roberts (m. 1994),,,www.lizsavilleroberts.org,,,
LondonBreed,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,london nicole breed (1974-08-11) august 11| 1974 (age 44)san francisco| california| u.s.,,,,,,,,,,,,university of california| davis (ba)university of san francisco (mpa),,,,,,,,,,,,,,,,,,,,,democratic,,,,,,,,,,,,,,,,,,,,,,
LowYenLing,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,, (1974-08-17) 17 august 1974 (age 44)singapore,,,,,,,,,,,,,,,,,,,,,,,singaporean,,,,,,,,,,people's action party,,,,,,,,,,,,,,,,,,,,,,
LukeMesser,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,allen lucas messer (1969-02-27) february 27| 1969 (age 49)evansville| indiana| u.s.,,3,,,,,,,,,,wabash college (ba)vanderbilt university (jd),,,,,,,,,,,,,,,,,,,,,republican,,,,,,,,,,,,,,,,jennifer messer,,,house website,,,
MacsuzyMondon,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,university of quebec at trois rivières,,,,,3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,people's party,,,,,,,,,,,,,,,,,,,,,,
MaggieDeBlock,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,, (1962-04-28) 28 april 1962 (age 56),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,open flemish liberals and democrats,,,,,,,,,,,,,,,,,,,,,,
MahindaAmaraweera,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,vijithl central college| dickwella.,,, (1962-02-12) 12 february 1962 (age 56)udayala|  angunukolapelessa,,pasan amaraweera,,,,,,,,,,,,,,,,,,,,,sri lankan,,,,politician,,united people's freedom alliance,,,,sri lanka freedom party,,,,,,,,,b/63 mahagamasekara mawatha| colombo 07,,,,,,,madushini prancisku (m.2018-)| dilrukshika  weerakoon (m.1996-2011),,,,,,
MahindaRajapaksa,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,sri lanka law college,,,percy mahendra rajapaksa (1945-11-18) 18 november 1945 (age 73)weerakatiya| southern province| british ceylon(now sri lanka),,namalyoshitharohitha,,,,,,,,,,,,,,,,,,,,,sri lankan,,,,,,,,,,"sri lanka podujana peramuna (2018 – present)
sri lanka freedom party (before 2018)",,,,attorney at law,,,,,medamulana walawwa,,,,,,,shiranthi rajapaksa(née wickremesinghe),,,official website,,,
MahindaSamarasinghe,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,la trobe university,,, (1956-01-30) 30 january 1956 (age 62),,,,,,,,,,,,,,,,,,,,,,,sri lankan,,,,politics,,united people's freedom alliance  (2006 - present)  united national front  (2001 - 2006),,,,sri lanka freedom party  (2006 - present)  united national party  (1988 - 2006),,,,diplomat,,,,,53/2| torrington mawatha| colombo 07| sri lanka.,,,,,,,,,,,,,
MahindaYapaAbeywardena,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,university of colombo| rahula college matara| thelijjawila central college,,, (1945-10-10) 10 october 1945 (age 73)beragama|matara,,5,,,,,,,,,,,,,,,,,,,,,sri lankan,,,,landed proprietor,,united people's freedom alliance,,,,sri lanka freedom party,,,,politician,,,,,,,,,,,,,,,,,,
MahmoudElKhatib,"
al ahly","
egypt","
* senior club appearances and goals counted for the domestic league only",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"
president of al ahly","
 (1954-10-30) 30 october 1954 (age 64)",,,,,,,,,,"
mahmoud ibrahim ibrahim el khatib","
184 cm (6 ft 0 in)",,,,,,,,,,,,"
aga city| el dakahlia| egypt","
forward",,,,,,,,,,,,,,,,,,,,,"
team",,
MaithripalaSirisena,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,agriculture school| kundasalemaxim gorky literature institute,,,pallewatte gamaralalage maithripala yapa sirisena (1951-09-03) 3 september 1951 (age 67)yagoda| dominion of ceylon,,3,,,,,,,,,,,,,,,,,,,,,sri lanka,,,,politician,,united people's freedom alliance(2004 – present)[n 3] new democratic front(2014–2015)[n 4]people's alliance (1994–2004),,,,sri lanka freedom party(1968–present)communist party of ceylon(1966–1968),,,,,,,,,,,,,,,,jayanthi pushpa kumari,,,official website,,,
MalikiOsman,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,national university of singapore  university of illinois at urbana-champaign,,, (1965-07-19) 19 july 1965 (age 53)singapore,,lidia syahindah  adli mifzal,,,,,,,,,,,,,,,,,,,,,singaporean,,,,politician,,,,,,people's action party,,,,,,,,,,,,,,,,sadiah shahal (m. 1992)[1],,,,,,
M.A.Mannan,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,bangladeshi,,,,,,,,,,bangladesh nationalist party,,,,,,,,,,,,,,,,,,,,,,
MansourbinZayedAlNahyan,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,cabinet of the united arab emirates,,,,,,,,,,,,,,,,,,,al nahyan,,,,,,,politician,,,,,,,,,,,,,,,,,,,,,,,,,,,,
